Harvest_year,Company,Tobacco_Type,Class,R$_Kg
2021_2022,Universal Leaf Tabacos,Burley,C 1,12.11
2021_2022,Universal Leaf Tabacos,Burley,C 1 L,11.08
2021_2022,Universal Leaf Tabacos,Burley,C 2,10.54
2021_2022,Universal Leaf Tabacos,Burley,C 2 L,9.32
2021_2022,Universal Leaf Tabacos,Burley,C 3,8.20
2021_2022,Universal Leaf Tabacos,Burley,C 3 L,6.76
2021_2022,Universal Leaf Tabacos,Burley,C K,6.02
2021_2022,Universal Leaf Tabacos,Burley,X 1,11.17
2021_2022,Universal Leaf Tabacos,Burley,X 1 L,10.72
2021_2022,Universal Leaf Tabacos,Burley,X 2,9.52
2021_2022,Universal Leaf Tabacos,Burley,X 2 L,8.92
2021_2022,Universal Leaf Tabacos,Burley,X 3,7.44
2021_2022,Universal Leaf Tabacos,Burley,X 3 L,6.76
2021_2022,Universal Leaf Tabacos,Burley,X K,5.39
2021_2022,Universal Leaf Tabacos,Burley,N,2.18
2021_2022,Universal Leaf Tabacos,Burley,G,0.92
2021_2022,CTA,Virginia,T O 1,14.69
2021_2022,CTA,Virginia,T O 2,12.41
2021_2022,CTA,Virginia,T O 3,10.37
2021_2022,CTA,Virginia,T R 1,11.36
2021_2022,CTA,Virginia,T R 2,7.80
2021_2022,CTA,Virginia,T R 3,4.44
2021_2022,CTA,Virginia,T L 1,9.30
2021_2022,CTA,Virginia,T L 2,7.21
2021_2022,CTA,Virginia,T K,5.37
2021_2022,CTA,Virginia,B O 1,15.44
2021_2022,CTA,Virginia,B O 2,13.36
2021_2022,CTA,Virginia,B O 3,10.60
2021_2022,CTA,Virginia,B R 1,11.93
2021_2022,CTA,Virginia,B R 2,8.76
2021_2022,CTA,Virginia,B R 3,5.75
2021_2022,CTA,Virginia,B L 1,11.37
2021_2022,CTA,Virginia,B L 2,9.17
2021_2022,CTA,Virginia,B K,7.17
2021_2022,CTA,Virginia,C O 1,13.97
2021_2022,CTA,Virginia,C O 2,12.04
2021_2022,CTA,Virginia,C O 3,9.65
2021_2022,CTA,Virginia,C R 1,9.55
2021_2022,CTA,Virginia,C R 2,6.80
2021_2022,CTA,Virginia,C R 3,4.30
2021_2022,CTA,Virginia,C L 1,10.61
